"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"3",5.39989788936003,6,3,"na","Eastern.Cape","concrete","brick","yes","neighbour","flush.onsite","yes","no","not.working","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","male",0,62
"4",4.96886468558585,2,1,"flatlet","Eastern.Cape","thatching","concrete","yes","neighbour","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","female",5,47
"5",6.45215455700998,2,4,"caravan","Eastern.Cape","cardboard","brick","yes","com.borehole","bucket","yes","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","female",0,50
"6",4.18925716384115,3,5,"hut","Eastern.Cape","wattle","brick","yes","na","chemical","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","male",0,38
"7",7.48890197381862,1,6,"hut","Eastern.Cape","cardboard","na","yes","na","chemical","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","male",7,37
"8",5.71166413372492,6,4,"hut","Eastern.Cape","cardboard","thatching","yes","na","chemical","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","female",0,79
"9",5.50332160960866,5,3,"hut","Eastern.Cape","cardboard","thatching","yes","na","chemical","yes","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","Boland","no","female",6,68
"10",5.87372615331228,7,3,"hut","Eastern.Cape","sheeting","thatching","yes","na","chemical","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Boland","no","male",0,44
"11",5.83364762672998,8,3,"hut","Eastern.Cape","sheeting","thatching","yes","na","chemical","yes","no","not.working","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","male",4,43
"12",3.94122214914286,6,5,"hut","Eastern.Cape","cardboard","thatching","yes","na","chemical","yes","na","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","female",0,79
"13",4.42608984014123,13,6,"hut","Eastern.Cape","cardboard","thatching","yes","na","pit.ventilation","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","male",0,64
"14",5.18702264648684,7,3,"hut","Eastern.Cape","sheeting","plastic","yes","neighbour","chemical","yes","no","not.working","yes","yes","no","na","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","Boland","no","male",2,47
"15",4.29688621060562,16,7,"hut","Eastern.Cape","cardboard","thatching","no","na","chemical","yes","yes","not.working","na","yes","no","na","yes","na","yes","yes","yes","na","yes","yes","yes","yes","yes","yes","Boland","no","female",0,86
"16",5.06040408834258,7,5,"hut","Eastern.Cape","sheeting","thatching","yes","na","chemical","yes","no","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","male",0,64
"17",5.76400122367624,5,-3,"hut","Eastern.Cape","cardboard","na","yes","na","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","female",0,69
"19",5.54126354515843,8,3,"hut","Eastern.Cape","cardboard","thatching","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Boland","no","female",4,41
"20",6.89541461369614,1,2,"hut","Eastern.Cape","cardboard","thatching","yes","com.borehole","pit.ventilation","yes","na","not.working","na","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","male",0,69
"21",5.64144576881472,7,-3,"hut","Eastern.Cape","cardboard","thatching","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","na","yes","na","yes","yes","yes","yes","Boland","no","female",4,80
"22",4.85614469549069,11,1,"hut","Eastern.Cape","sheeting","thatching","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","male",9,58
"23",5.07586352890544,3,1,"flat","Eastern.Cape","cardboard","brick","yes","com.borehole","bucket","yes","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Boland","no","female",8,46
"24",6.07401724814466,7,3,"hut","Eastern.Cape","cardboard","thatching","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Boland","no","female",0,77
"25",6.32870458726965,3,-3,"backyard.house","Eastern.Cape","cardboard","plastic","no","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Boland","no","male",9,21
"26",5.7037824746562,5,4,"na","KwaZulu.Natal","cardboard","plastic","yes","na","na","yes","na","not.working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","na","yes","na","yes","Central","no","male",8,59
